place_id,name,address,lat,lon,area,location_type,themes,seasonality,child_engagement_score,view_quality_score,rating,review_count,tags,description,city,type
1,Парк им. М.В. Фрунзе,"Центральный район, Новороссийск, Краснодарский край, 353900",44.711545,37.782897,побережье,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.75,4.8,776,парк;прогулка;семья;отдых,Парк им. М.В. Фрунзе подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
2,Парк им. Ленина,"Центральный район, Новороссийск, Краснодарский край, 353900",44.714854,37.777299,центр,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,4.5,452,парк;прогулка;семья;отдых,Парк им. Ленина подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
3,Пионерская роща,"Южный район, Новороссийск, Краснодарский край, 353924",44.677607,37.789173,побережье,парк,природа;лес;прогулка;семья,круглый_год,0.7,0.75,4.5,271,роща;лес;прогулка;семья,Пионерская роща подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
4,Цемесская роща,"Новороссийск, Краснодарский край",44.737828,37.749348,окрестности,парк,природа;лес;прогулка;семья,круглый_год,0.7,0.55,4.5,191,роща;лес;прогулка;семья,Цемесская роща подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
5,Парк Южный,"Южный район, Новороссийск, Краснодарский край, 353922",44.685942,37.784415,побережье,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.75,4.3,253,парк;прогулка;семья;отдых,Парк Южный подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
6,Сквер им. Чайковского,"Центральный район, Новороссийск, Краснодарский край",44.72359,37.766041,центр,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,4.8,240,парк;прогулка;семья;отдых,Сквер им. Чайковского подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
7,Восточный парк,"Восточный район, Новороссийск, Краснодарский край",44.724854,37.827679,окрестности,парк,природа;прогулка;семья;отдых,круглый_год,0.7,0.55,5.0,38,парк;прогулка;семья;отдых,Восточный парк подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
8,Дендропарк,"Южный район, Новороссийск, Краснодарский край",44.683372,37.796414,побережье,парк,природа;прогулка;семья;отдых,круглый_год,0.7,0.75,4.0,61,парк;прогулка;семья;отдых,Дендропарк подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
9,Сквер им. Карла Маркса,"Центральный район, Новороссийск, Краснодарский край",44.738683,37.785697,окрестности,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,4.5,20,парк;прогулка;семья;отдых,Сквер им. Карла Маркса подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
10,Сквер им. Пушкина,"Центральный район, Новороссийск, Краснодарский край",44.719264,37.774824,центр,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,4.6,18,парк;прогулка;семья;отдых,Сквер им. Пушкина подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
11,Сквер им. В.Ф. Маргелова,"Приморский район, Новороссийск, Краснодарский край",44.734545,37.746017,окрестности,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,5.0,14,парк;прогулка;семья;отдых,Сквер им. В.Ф. Маргелова подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
12,Сквер Науки,"Приморский район, Новороссийск, Краснодарский край",44.726331,37.757325,окрестности,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,4.9,38,парк;прогулка;семья;отдых,Сквер Науки подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
13,Арт-парк,"Новороссийский район, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.702799,37.597629,винный_кластер,парк,арт;прогулка;виды;семья,круглый_год,0.7,0.8,4.9,552,парк;прогулка;семья;отдых,Парк с арт-объектами и прогулочными маршрутами у озера,Абрау-Дюрсо,locations
14,Детский парк Остров сокровищ,"Центральный район, Новороссийск, Краснодарский край",44.714497,37.775944,центр,парк,дети;семья;прогулка;развлечение,круглый_год,0.95,0.55,4.8,54,дети;парк;семья;игры,Детский парк Остров сокровищ подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
15,Сквер им. Волкова,"Центральный район, Новороссийск, Краснодарский край",44.719222,37.776054,центр,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,5.0,32,парк;прогулка;семья;отдых,Сквер им. Волкова подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
16,Сквер 75-летия Победы,"Южный район, Новороссийск, Краснодарский край",44.687397,37.790073,побережье,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.75,4.9,229,парк;прогулка;семья;отдых,Сквер 75-летия Победы подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
17,Экопарк Дубрава,"Приморский район, Новороссийск, Краснодарский край",44.754877,37.724256,окрестности,парк,природа;эко;тишина;прогулка,круглый_год,0.6,0.6,5.0,1,эко;парк;лес;прогулка,Тихая зеленая зона для неспешных прогулок и короткого отдыха,Новороссийск,locations
18,Сквер им. Рыбнева,"Центральный район, Новороссийск, Краснодарский край",44.713304,37.781822,центр,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.55,4.8,89,парк;прогулка;семья;отдых,Сквер им. Рыбнева подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
19,Сквер 80-летия Краснодарского края,"Южный район, Новороссийск, Краснодарский край",44.686046,37.779247,побережье,парк,природа;прогулка;семья;отдых,круглый_год,0.8,0.75,4.5,48,парк;прогулка;семья;отдых,Сквер 80-летия Краснодарского края подходит для спокойных прогулок и повседневного отдыха,Новороссийск,locations
20,Пляж Алексино,"Южный район, Новороссийск, Краснодарский край, 353924",44.677095,37.799955,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.6,727,море;пляж;отдых;виды,Пляж Алексино подходит для отдыха у воды и прогулок вдоль берега,Новороссийск,locations
21,Пляж Мысхако,"Новороссийский район, с. Мысхако, Новороссийск городской округ, Краснодарский край, 353993",44.653126,37.749322,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.2,54,море;пляж;отдых;виды,Пляж Мысхако подходит для отдыха у воды и прогулок вдоль берега,Новороссийск,locations
22,Пляж Суджукская коса,"Южный район, Новороссийск, Краснодарский край, 353924",44.685001,37.801511,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.8,352,море;пляж;отдых;виды,Пляж Суджукская коса подходит для отдыха у воды и прогулок вдоль берега,Новороссийск,locations
23,Пляж Широкая Балка,"Новороссийский район, с. Широкая Балка, Новороссийск городской округ, Краснодарский край, 353993",44.656038,37.694944,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.7,412,море;пляж;отдых;виды,Пляж Широкая Балка подходит для отдыха у воды и прогулок вдоль берега,Широкая Балка,locations
24,Пляж Нептун,"Набережная им. Адмирала Серебрякова, 61е, Новороссийск, Краснодарский край, 353910",44.698171,37.789041,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.4,211,море;пляж;отдых;виды,Пляж Нептун подходит для отдыха у воды и прогулок вдоль берега,Новороссийск,locations
25,Пляж Кристалл-2,"Набережная им. Адмирала Серебрякова, 79а, Новороссийск, Краснодарский край",44.693959,37.791828,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.7,95,море;пляж;отдых;виды,Пляж Кристалл-2 подходит для отдыха у воды и прогулок вдоль берега,Новороссийск,locations
26,Пляж Абрау-Дюрсо,"Новороссийский район, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край, 353995",44.670409,37.58482,винный_кластер,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,5.0,1,море;пляж;отдых;виды,Пляж Абрау-Дюрсо подходит для отдыха у воды и прогулок вдоль берега,Абрау-Дюрсо,locations
27,Пляж Русское море,"Центральный район, Новороссийск, Краснодарский край, 353900",44.711441,37.784997,побережье,природная_локация,море;пляж;виды;отдых,лето,0.85,0.9,4.7,22,море;пляж;отдых;виды,Пляж Русское море подходит для отдыха у воды и прогулок вдоль берега,Новороссийск,locations
28,Крейсер Михаил Кутузов,"Набережная им. Адмирала Серебрякова, 2а, Новороссийск, Краснодарский край",44.721445,37.782567,побережье,музей,история;экспозиция;культура;семья,круглый_год,0.7,0.7,4.7,1209,музей;история;экспозиция;семья,Крейсер Михаил Кутузов знакомит с историей региона и подходит для познавательного визита,Новороссийск,locations
29,Исторический музей-заповедник на проспекте Ленина,"Проспект Ленина, 59, Новороссийск, Краснодарский край",44.690975,37.788439,побережье,музей,история;экспозиция;культура;семья,круглый_год,0.55,0.3,4.6,25,музей;история;экспозиция;семья,Исторический музей-заповедник на проспекте Ленина знакомит с историей региона и подходит для познавательного визита,Новороссийск,locations
30,Исторический музей-заповедник на улице Советов,"Улица Советов, 58, Новороссийск, Краснодарский край, 353900",44.716707,37.778755,центр,музей,история;экспозиция;культура;семья,круглый_год,0.55,0.3,4.7,51,музей;история;экспозиция;семья,Исторический музей-заповедник на улице Советов знакомит с историей региона и подходит для познавательного визита,Новороссийск,locations
31,Выставочный зал музея-заповедника,"Суворовская улица, 13, Новороссийск, Краснодарский край, 353905",44.70169,37.785634,побережье,музей,история;экспозиция;культура;семья,круглый_год,0.55,0.3,5.0,8,музей;история;экспозиция;семья,Выставочный зал музея-заповедника знакомит с историей региона и подходит для познавательного визита,Новороссийск,locations
32,Музей камня и минералов,"Архитектурная улица, 12, Новороссийск, Краснодарский край",44.704241,37.736172,окрестности,музей,минералы;познание;коллекция;семья,круглый_год,0.8,0.3,4.7,25,музей;минералы;коллекция;семья,Небольшой музей с минералами и камнями для спокойного познавательного визита,Новороссийск,locations
33,Малая Земля музей,"Улица Суджукская коса, 1а, Новороссийск, Краснодарский край, 353913",44.68855,37.797249,побережье,музей,история;военная_память;маршрут;город,круглый_год,0.55,0.3,4.3,395,история;память;мемориал;маршрут,Малая Земля музей знакомит с историей региона и подходит для познавательного визита,Новороссийск,locations
34,Храм Святой Троицы,"Пролетарская улица, 13, Новороссийск, Краснодарский край, 353901",44.73956,37.781074,окрестности,культурная_точка,архитектура;культура;тишина;локальная_история,круглый_год,0.25,0.45,3.8,16,храм;архитектура;культура;тишина,Храм Святой Троицы интересен архитектурой и спокойной атмосферой,Новороссийск,locations
35,Храм Новомучеников и Исповедников Российских,"Пионерская улица, 1, Новороссийск, Краснодарский край",44.685718,37.787072,побережье,культурная_точка,архитектура;культура;тишина;локальная_история,круглый_год,0.25,0.45,4.8,40,храм;архитектура;культура;тишина,Храм Новомучеников и Исповедников Российских интересен архитектурой и спокойной атмосферой,Новороссийск,locations
36,Храм святого Георгия Победоносца,"Анапское шоссе, 53, Новороссийск, Краснодарский край, 353912",44.737258,37.740414,окрестности,культурная_точка,архитектура;культура;тишина;локальная_история,круглый_год,0.25,0.45,5.0,13,храм;архитектура;культура;тишина,Храм святого Георгия Победоносца интересен архитектурой и спокойной атмосферой,Новороссийск,locations
37,Свято-Успенский собор,"Улица Видова, 26, Новороссийск, Краснодарский край",44.720871,37.764711,центр,культурная_точка,архитектура;культура;тишина;локальная_история,круглый_год,0.25,0.45,4.8,58,храм;архитектура;культура;тишина,Свято-Успенский собор интересен архитектурой и спокойной атмосферой,Новороссийск,locations
38,Храм Святых Петра и Февронии,"Набережная им. Адмирала Серебрякова, 53Б, Новороссийск, Краснодарский край, 353910",44.701465,37.788488,побережье,культурная_точка,архитектура;культура;тишина;локальная_история,круглый_год,0.25,0.45,4.6,97,храм;архитектура;культура;тишина,Храм Святых Петра и Февронии интересен архитектурой и спокойной атмосферой,Новороссийск,locations
39,Кемпинг Страна Oz,"Пограничная улица, 74, с. Южная Озереевка, Новороссийск городской округ, Краснодарский край",44.670898,37.634759,побережье,эко-локация,природа;тишина;отдых;эко,весна_осень,0.7,0.75,4.5,30,эко;природа;отдых;тишина,Кемпинг Страна Oz подходит для отдыха на природе и короткой перезагрузки,Южная Озереевка,locations
40,Автокемпинг на Круглом озере,"Улица Доктора Каминского, 7, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.67771,37.596176,винный_кластер,эко-локация,природа;тишина;отдых;эко,круглый_год,0.7,0.75,4.7,45,эко;природа;отдых;тишина,Автокемпинг на Круглом озере подходит для отдыха на природе и короткой перезагрузки,Абрау-Дюрсо,locations
41,Abrau Glamping,"Улица Чехова, 1а, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.71167,37.593236,винный_кластер,эко-локация,природа;тишина;отдых;эко,весна_осень,0.7,0.75,3.8,22,эко;природа;отдых;тишина,Abrau Glamping подходит для отдыха на природе и короткой перезагрузки,Абрау-Дюрсо,locations
42,Эколоджия,"Улица Алексея Чурилина, 87, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.67686,37.591513,винный_кластер,эко-локация,природа;тишина;отдых;эко,весна_осень,0.7,0.75,3.8,9,эко;природа;отдых;тишина,Эколоджия подходит для отдыха на природе и короткой перезагрузки,Абрау-Дюрсо,locations
43,Садко,"Улица Курортная набережная, 3, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.653818,37.701366,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.6,57,отдых;оздоровление;семья;природа,Садко подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
44,Атмосфера,"Улица им. Александра Тихомирова, 22, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.664596,37.686896,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.8,140,отдых;оздоровление;семья;природа,Атмосфера подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
45,Озеро леса,"База отдыха Озера леса территория, 1, Новороссийск, Краснодарский край",44.771615,37.68916,окрестности,эко-локация,природа;тишина;отдых;эко,круглый_год,0.7,0.75,4.8,35,эко;природа;отдых;тишина,Озеро леса подходит для отдыха на природе и короткой перезагрузки,Новороссийск,locations
46,Океан,"Заречная улица, 17а, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.666243,37.685662,побережье,эко-локация,природа;тишина;отдых;эко,весна_осень,0.7,0.75,4.7,26,эко;природа;отдых;тишина,Океан подходит для отдыха на природе и короткой перезагрузки,Широкая Балка,locations
47,Голубой факел,"Улица Курортная набережная, Голубой факел, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.65459,37.697382,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.2,36,отдых;оздоровление;семья;природа,Голубой факел подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
48,Прибой,"Улица Курортная набережная, Прибой, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.664914,37.679053,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.0,45,отдых;оздоровление;семья;природа,Прибой подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
49,Круглое озеро усадьба,"Улица Доктора Каминского, 7, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.67782,37.596213,винный_кластер,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.6,422,отдых;оздоровление;семья;природа,Круглое озеро усадьба подходит для размеренного отдыха и короткого выезда,Абрау-Дюрсо,locations
50,Черномор,"Улица Курортная набережная, Черномор, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.655357,37.696678,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.3,113,отдых;оздоровление;семья;природа,Черномор подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
51,Диана,"Улица Курортная набережная, Диана, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.665106,37.683865,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,3.9,17,отдых;оздоровление;семья;природа,Диана подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
52,Чайка,"Улица Курортная набережная, Чайка, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.656551,37.695124,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.4,105,отдых;оздоровление;семья;природа,Чайка подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
53,Лес Абрау,"Дальняя улица, 9, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.699909,37.609187,винный_кластер,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.8,38,отдых;оздоровление;семья;природа,Лес Абрау подходит для размеренного отдыха и короткого выезда,Абрау-Дюрсо,locations
54,Фрегат,"Встречная улица, 21а, с. Мысхако, Новороссийск городской округ, Краснодарский край",44.655694,37.760245,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.8,105,отдых;оздоровление;семья;природа,Фрегат подходит для размеренного отдыха и короткого выезда,Новороссийск,locations
55,Абрау хутор,"Улица Горького, 2а, с. Абрау-Дюрсо, Новороссийск городской округ, Краснодарский край",44.7142,37.587893,винный_кластер,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.8,234,отдых;оздоровление;семья;природа,Абрау хутор подходит для размеренного отдыха и короткого выезда,Абрау-Дюрсо,locations
56,Меркурий,"Улица Курортная набережная, Меркурий, с. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.666376,37.681971,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,2.3,4,отдых;оздоровление;семья;природа,Меркурий подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
57,Лесная поляна,"С. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.656267,37.701648,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.2,5,отдых;оздоровление;семья;природа,Лесная поляна подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
58,Тополёк,"С. Широкая Балка, Новороссийск городской округ, Краснодарский край",44.657059,37.6939,побережье,оздоровительный_объект,отдых;море;перезагрузка;семья,круглый_год,0.65,0.7,4.2,3,отдых;оздоровление;семья;природа,Тополёк подходит для размеренного отдыха и короткого выезда,Широкая Балка,locations
59,Кемпинг Мысхако Фрегат двор,"Береговой формат, с. Мысхако, Новороссийск городской округ, Краснодарский край",44.657362,37.758649,побережье,эко-локация,природа;тишина;отдых;эко,весна_осень,0.7,0.75,4.5,2,эко;природа;отдых;тишина,Кемпинг Мысхако Фрегат двор подходит для отдыха на природе и короткой перезагрузки,Новороссийск,locations
60,Семь ветров,"Новороссийск городской округ, Краснодарский край",44.725353,37.866981,окрестности,смотровая_площадка,виды;панорама;романтика;фото,по_погоде,0.2,0.95,2.9,4,смотровая;виды;панорама;фото,Семь ветров дает хороший обзор побережья и городской панорамы,Новороссийск,locations
61,Смотровая площадка Приморский район,"Приморский район, Новороссийск, Краснодарский край",44.71668,37.75021,окрестности,смотровая_площадка,виды;панорама;романтика;фото,по_погоде,0.2,0.9,2.7,3,смотровая;виды;панорама;фото,Смотровая площадка Приморский район дает хороший обзор побережья и городской панорамы,Новороссийск,locations
62,Обзорная площадка Дом йога,"Новороссийский район, Новороссийск, Краснодарский край",44.67022,37.60921,окрестности,смотровая_площадка,виды;тишина;панорама;фото,по_погоде,0.2,0.9,4.9,28,смотровая;виды;панорама;фото,Обзорная площадка Дом йога дает хороший обзор побережья и городской панорамы,Новороссийск,locations
63,Смотровая площадка Мысхако Верхняя,"Мысхако, Новороссийский район, Новороссийск, Краснодарский край",44.653416,37.752284,побережье,смотровая_площадка,виды;панорама;романтика;фото,по_погоде,0.2,0.95,4.8,4,смотровая;виды;панорама;фото,Смотровая площадка Мысхако Верхняя дает хороший обзор побережья и городской панорамы,Новороссийск,locations
64,Смотровая площадка Южный район,"Южный район, Новороссийск, Краснодарский край",44.660524,37.777374,побережье,смотровая_площадка,виды;панорама;романтика;фото,по_погоде,0.2,0.9,5.0,7,смотровая;виды;панорама;фото,Смотровая площадка Южный район дает хороший обзор побережья и городской панорамы,Новороссийск,locations
65,Смотровая площадка Южный берег,"Южный район, Новороссийск, Краснодарский край",44.686097,37.799779,побережье,смотровая_площадка,виды;панорама;романтика;фото,по_погоде,0.2,0.9,5.0,1,смотровая;виды;панорама;фото,Смотровая площадка Южный берег дает хороший обзор побережья и городской панорамы,Новороссийск,locations
